Reference, Value, Footprint, Datasheet
R1,16.5k,myfootprint:R_0805_My_HandSoldering,
R2,Customizable,myfootprint:R_0805_My_HandSoldering,
R3,100k,myfootprint:R_0805_My_HandSoldering,
R4,165k,myfootprint:R_0805_My_HandSoldering,
R6,10k,myfootprint:R_0805_My_HandSoldering,
R10,10k,myfootprint:R_0805_My_HandSoldering,
R11,10k,myfootprint:R_0805_My_HandSoldering,
R12,100,myfootprint:R_0805_My_HandSoldering,
R13,100,myfootprint:R_0805_My_HandSoldering,
R15,100,myfootprint:R_0805_My_HandSoldering,
R14,100,myfootprint:R_0805_My_HandSoldering,
R8,100,myfootprint:R_0805_My_HandSoldering,
R7,100,myfootprint:R_0805_My_HandSoldering,
R5,.010,myfootprint:R_2010_My_HandSoldering,
C1,3300p,myfootprint:C_0805_HandSoldering,
C6,0.1u,myfootprint:C_0805_HandSoldering,
C3,0.1u,myfootprint:C_0805_HandSoldering,
C4,0.1u,myfootprint:C_0805_HandSoldering,
C5,1u,myfootprint:C_0805_HandSoldering,
Q1,BSS84,myfootprint:BSS84-SOT-23_Handsoldering,
Q2,BSS138,myfootprint:BSS138-SOT-23_Handsoldering,
Q3,2N7002,myfootprint:SOT-23_Handsoldering,
D1,BZT52C5V65-7,myfootprint:SOD-323,
C2,0.1u,myfootprint:C_0805_HandSoldering,
D3,AZ23C5V6-7,myfootprint:D_SOT-23_NKA,
TH1,10K,myfootprint:Thermistor,
U1,bq34z100pw,myfootprint:SSOP-14-Bq,
P3,Con3,*234,myfootprint:Con3,-234,
P1,Con3,123*,myfootprint:Con3,123-,
SW1,SPST,myfootprint:DIP-2_LongPads,
SW2,SPST,myfootprint:DIP-2_LongPads,
